step,train_loss,train_acc,test_acc,lambda_H,lambda_A,grad_norm
0,2.193711757659912,0.20907999575138092,0.20099999010562897,16.136638641357422,490865.9375,1.6242934465408325
1,2.1024813652038574,0.2547599971294403,0.24799999594688416,,,0.9485582113265991
2,2.041856527328491,0.2857999801635742,0.2807999849319458,,,0.6843739151954651
3,1.995721459388733,0.30517998337745667,0.29989999532699585,,,0.5653486251831055
4,1.9583516120910645,0.31793999671936035,0.31619998812675476,,,0.48200657963752747
5,1.927402377128601,0.3303599953651428,0.32899999618530273,11.622298240661621,62255.15625,0.4222458302974701
6,1.9015542268753052,0.34109997749328613,0.33640000224113464,,,0.38356512784957886
7,1.8807110786437988,0.34953999519348145,0.343999981880188,,,0.3480169177055359
8,1.8652124404907227,0.3563399910926819,0.35089999437332153,,,0.3101041316986084
9,1.853684425354004,0.36125999689102173,0.35349997878074646,,,0.2847425639629364
10,1.8423385620117188,0.36531999707221985,0.3579999804496765,12.661375045776367,59914.421875,0.29134300351142883
11,1.828526258468628,0.3705799877643585,0.3658999800682068,,,0.30553656816482544
12,1.8136115074157715,0.3757999837398529,0.37219998240470886,,,0.28910109400749207
13,1.8001421689987183,0.3804999887943268,0.3774999976158142,,,0.2534872889518738
14,1.788834810256958,0.38453999161720276,0.3805999755859375,,,0.22864966094493866
15,1.7789716720581055,0.38961997628211975,0.3856000006198883,14.680930137634277,66295.578125,0.22070983052253723
16,1.769629716873169,0.39433997869491577,0.38769999146461487,,,0.2216375321149826
17,1.7602055072784424,0.3984600007534027,0.39159998297691345,,,0.22187991440296173
18,1.7505470514297485,0.40261998772621155,0.3962000012397766,,,0.2163817286491394
19,1.740678071975708,0.40557998418807983,0.3991999924182892,,,0.2130797952413559
20,1.7311731576919556,0.4086399972438812,0.4027999937534332,17.278759002685547,81910.875,0.2041873335838318
21,1.7221506834030151,0.41176000237464905,0.4034000039100647,,,0.19876761734485626
22,1.7132537364959717,0.4145199954509735,0.4074999988079071,,,0.1990116983652115
23,1.7046838998794556,0.4179999828338623,0.41040000319480896,,,0.18762867152690887
24,1.6960490942001343,0.42179998755455017,0.41359999775886536,,,0.19037459790706635
25,1.6877800226211548,0.4246799945831299,0.4156999886035919,21.10541343688965,100018.0703125,0.17587633430957794
26,1.679948329925537,0.42734000086784363,0.4186999797821045,,,0.16957272589206696
27,1.6719156503677368,0.4290199875831604,0.4204999804496765,,,0.17569716274738312
28,1.6636874675750732,0.4324999749660492,0.42069998383522034,,,0.17355184257030487
29,1.6558209657669067,0.43581998348236084,0.423799991607666,,,0.16116169095039368
30,1.6484416723251343,0.43741998076438904,0.42649999260902405,24.685884475708008,117963.28125,0.15495137870311737
31,1.6410884857177734,0.4391999840736389,0.4258999824523926,,,0.16104742884635925
32,1.6337230205535889,0.4421599805355072,0.4274999797344208,,,0.1586167812347412
33,1.626441240310669,0.4447000026702881,0.4300999939441681,,,0.1534806787967682
34,1.619267225265503,0.44764000177383423,0.4311999976634979,,,0.14868152141571045
35,1.6120487451553345,0.4499399960041046,0.43209999799728394,27.7453670501709,134397.671875,0.14969833195209503
36,1.6049708127975464,0.45284000039100647,0.4325999915599823,,,0.14132696390151978
37,1.598146915435791,0.45565998554229736,0.4333999752998352,,,0.13872911036014557
38,1.5915675163269043,0.4578999876976013,0.4351999759674072,,,0.13266074657440186
39,1.5848864316940308,0.46021997928619385,0.4375,,,0.1399593949317932
40,1.5782300233840942,0.4619999825954437,0.438400000333786,32.38405990600586,161512.796875,0.13560126721858978
41,1.5716584920883179,0.46383997797966003,0.4389999806880951,,,0.12933574616909027
42,1.5649387836456299,0.46595999598503113,0.43709999322891235,,,0.13662871718406677
43,1.5581661462783813,0.4686200022697449,0.4382999837398529,,,0.13155746459960938
44,1.5514289140701294,0.47143998742103577,0.4414999783039093,,,0.12606267631053925
45,1.5446354150772095,0.47325998544692993,0.44200000166893005,38.26606369018555,194181.6875,0.12790685892105103
46,1.5378062725067139,0.47652000188827515,0.4438000023365021,,,0.12671591341495514
47,1.5310332775115967,0.4784199893474579,0.444599986076355,,,0.11920180171728134
48,1.5242228507995605,0.4809199869632721,0.44689998030662537,,,0.12075045704841614
49,1.5174232721328735,0.4840199947357178,0.4479999840259552,,,0.12411494553089142
50,1.510744571685791,0.4859599769115448,0.4486999809741974,45.74949645996094,233444.21875,0.127995103597641
51,1.5043411254882812,0.488459974527359,0.44909998774528503,,,0.15425418317317963
52,1.49951171875,0.48921999335289,0.4509999752044678,,,0.24845655262470245
53,1.4996929168701172,0.4903799891471863,0.4493999779224396,,,0.5055682063102722
54,1.4936177730560303,0.49181997776031494,0.4510999917984009,,,0.9038995504379272
55,1.4798845052719116,0.4967799782752991,0.4537999927997589,47.055274963378906,137204.8125,0.9739466905593872
56,1.4761972427368164,0.49893999099731445,0.45339998602867126,,,0.33656391501426697
57,1.4731899499893188,0.5,0.4545999765396118,,,0.5630517601966858
58,1.4621769189834595,0.503600001335144,0.45639997720718384,,,0.8024351000785828
59,1.459041714668274,0.5057199597358704,0.457099974155426,,,0.23065760731697083
60,1.4538668394088745,0.5069999694824219,0.4596000015735626,59.7852668762207,148148.625,0.5548457503318787
61,1.4450260400772095,0.5101400017738342,0.45979997515678406,,,0.6236211061477661
62,1.4420886039733887,0.5118199586868286,0.4585999846458435,,,0.11619164794683456
63,1.4356027841567993,0.5136399865150452,0.4611999988555908,,,0.5576396584510803
64,1.4283664226531982,0.517579972743988,0.46209999918937683,,,0.4787794053554535
65,1.4247403144836426,0.518779993057251,0.4615999758243561,61.48637771606445,146661.296875,0.15173938870429993
66,1.4184571504592896,0.5208399891853333,0.46219998598098755,,,0.5085031390190125
67,1.41163170337677,0.5239599943161011,0.46379998326301575,,,0.4463595151901245
68,1.4070265293121338,0.5257200002670288,0.4615999758243561,,,0.1656881719827652
69,1.4015707969665527,0.5277400016784668,0.46320000290870667,,,0.40858039259910583
70,1.3952118158340454,0.5299199819564819,0.46299999952316284,71.9166259765625,161963.765625,0.464498907327652
71,1.389379858970642,0.5319799780845642,0.46140000224113464,,,0.31505832076072693
72,1.3838915824890137,0.5334199666976929,0.4635999798774719,,,0.26867684721946716
73,1.3783475160598755,0.5357599854469299,0.46289998292922974,,,0.35066714882850647
74,1.3729130029678345,0.5376799702644348,0.4625999927520752,,,0.40394192934036255
75,1.3675545454025269,0.5394600033760071,0.46549999713897705,81.4973373413086,177143.5625,0.4513023793697357
76,1.361127495765686,0.5415399670600891,0.462799996137619,,,0.4740837812423706
77,1.3545045852661133,0.5441399812698364,0.4659999907016754,,,0.3857342600822449
78,1.3486509323120117,0.5466600060462952,0.46539998054504395,,,0.20449043810367584
79,1.3433136940002441,0.5472999811172485,0.4648999869823456,,,0.1836330145597458
80,1.3377139568328857,0.5501599907875061,0.4675999879837036,94.4169921875,204666.046875,0.3123360872268677
81,1.3318395614624023,0.551859974861145,0.46469998359680176,,,0.3677554130554199
82,1.3268940448760986,0.5532999634742737,0.46629998087882996,,,0.40324684977531433
83,1.3252754211425781,0.5535599589347839,0.46309998631477356,,,0.600175678730011
84,1.3333373069763184,0.5523999929428101,0.4643999934196472,,,1.1520966291427612
85,1.3271876573562622,0.5538600087165833,0.46299999952316284,119.83770751953125,197620.203125,1.8952460289001465
86,1.307350754737854,0.5605599880218506,0.4667999744415283,,,2.038527727127075
87,1.30262291431427,0.5619999766349792,0.4673999845981598,,,0.877284049987793
88,1.3060380220413208,0.5615999698638916,0.4650999903678894,,,0.9086357951164246
89,1.2912884950637817,0.5666800141334534,0.46779999136924744,,,1.6563987731933594
90,1.288573145866394,0.5676800012588501,0.4675999879837036,99.32215881347656,163252.40625,0.7185989022254944
91,1.286269187927246,0.5696200132369995,0.46399998664855957,,,0.9550105333328247
92,1.2749412059783936,0.5725199580192566,0.4672999978065491,,,1.2662838697433472
93,1.274844765663147,0.5721399784088135,0.46879997849464417,,,0.3710722327232361
94,1.2668222188949585,0.5759599804878235,0.4664999842643738,,,1.0414619445800781
95,1.2614413499832153,0.577239990234375,0.4657999873161316,115.66409301757812,176320.484375,0.7424028515815735
96,1.2587097883224487,0.5781399607658386,0.46789997816085815,,,0.5773433446884155
97,1.250121831893921,0.5816400051116943,0.46719998121261597,,,0.8987751603126526
98,1.2480632066726685,0.581779956817627,0.46559998393058777,,,0.29397052526474
99,1.2421692609786987,0.5841999650001526,0.46889999508857727,,,0.7770355939865112
100,1.2356295585632324,0.5863199830055237,0.46799999475479126,125.71597290039062,195663.4375,0.684103786945343
101,1.2334593534469604,0.5866199731826782,0.4643999934196472,,,0.33742979168891907
102,1.2262362241744995,0.5893799662590027,0.468999981880188,,,0.785071849822998
103,1.221413016319275,0.5920400023460388,0.47049999237060547,,,0.46448972821235657
104,1.2183825969696045,0.5917800068855286,0.4659999907016754,,,0.5135294795036316
105,1.2117762565612793,0.5957399606704712,0.46799999475479126,134.03880310058594,194972.703125,0.8385341763496399
106,1.2087457180023193,0.5945000052452087,0.4667999744415283,,,0.6104813814163208
107,1.207425832748413,0.5967400074005127,0.46619999408721924,,,0.8323465585708618
108,1.2017430067062378,0.5973199605941772,0.4650999903678894,,,1.1460331678390503
109,1.1989699602127075,0.5998799800872803,0.4684999883174896,,,1.2054163217544556
110,1.1915818452835083,0.6014400124549866,0.46539998054504395,163.71893310546875,190990.8125,1.4247888326644897
111,1.1832515001296997,0.6045199632644653,0.46949997544288635,,,1.2152620553970337
112,1.180685043334961,0.604479968547821,0.46639999747276306,,,0.5988175272941589
113,1.1761870384216309,0.6063199639320374,0.46369999647140503,,,0.8686910271644592
114,1.1708635091781616,0.6087799668312073,0.4696999788284302,,,0.9350979328155518
115,1.1686681509017944,0.6086199879646301,0.46480000019073486,171.43704223632812,189923.71875,0.8505977392196655
116,1.1632939577102661,0.6102399826049805,0.46619999408721924,,,1.1024479866027832
117,1.1575218439102173,0.6134799718856812,0.4652999937534332,,,0.9895771741867065
118,1.1539663076400757,0.6138799786567688,0.4666000008583069,,,0.9085671901702881
119,1.1464673280715942,0.6165399551391602,0.46629998087882996,,,0.9582181572914124
120,1.1425857543945312,0.6189000010490417,0.46549999713897705,179.47451782226562,193288.0,0.4520527124404907
121,1.1396746635437012,0.6192399859428406,0.46559998393058777,,,0.5662311911582947
122,1.1341396570205688,0.6212599873542786,0.4658999741077423,,,0.8783984184265137
123,1.1323755979537964,0.6218400001525879,0.46639999747276306,,,0.8445367813110352
124,1.129730224609375,0.6229599714279175,0.4626999795436859,,,1.1553115844726562
125,1.1292345523834229,0.6230799555778503,0.4652999937534332,174.24893188476562,175299.140625,1.4927990436553955
126,1.129789113998413,0.623479962348938,0.46059998869895935,,,1.8515920639038086
127,1.1268813610076904,0.6236000061035156,0.46449998021125793,,,2.3707897663116455
128,1.1104178428649902,0.6303799748420715,0.4626999795436859,,,2.3159968852996826
129,1.106410264968872,0.6317600011825562,0.46289998292922974,,,1.1818808317184448
130,1.1072741746902466,0.6301999688148499,0.46449998021125793,182.4716033935547,175902.203125,0.9962116479873657
131,1.1027809381484985,0.6327399611473083,0.45989999175071716,,,1.7499454021453857
132,1.0948413610458374,0.6358000040054321,0.46369999647140503,,,1.7371188402175903
133,1.0883989334106445,0.6376599669456482,0.4635999798774719,,,1.0378391742706299
134,1.0899626016616821,0.6375199556350708,0.4583999812602997,,,0.7364658713340759
135,1.0846092700958252,0.6397199630737305,0.4635999798774719,192.82467651367188,180300.90625,1.552752137184143
136,1.0763580799102783,0.6423799991607666,0.461899995803833,,,1.3563300371170044
137,1.0753004550933838,0.6425600051879883,0.45899999141693115,,,0.6118435263633728
138,1.072603702545166,0.6444999575614929,0.4617999792098999,,,1.1230220794677734
139,1.0674185752868652,0.6451799869537354,0.460999995470047,,,1.3541359901428223
140,1.0617754459381104,0.6471799612045288,0.46309998631477356,221.90509033203125,199614.953125,1.1943624019622803
141,1.0572609901428223,0.6489599943161011,0.46230000257492065,,,0.8259871006011963
142,1.0564680099487305,0.6491400003433228,0.45829999446868896,,,0.7550345659255981
143,1.0536301136016846,0.6495599746704102,0.46289998292922974,,,1.3698959350585938
144,1.0488590002059937,0.6519599556922913,0.45799997448921204,,,1.5199482440948486
145,1.047911286354065,0.651919960975647,0.45879998803138733,224.85240173339844,182646.890625,1.424161672592163
146,1.0447719097137451,0.6525399684906006,0.4575999975204468,,,1.657688021659851
147,1.0413751602172852,0.6539799571037292,0.4575999975204468,,,1.8190604448318481
148,1.0341415405273438,0.6564799547195435,0.45409998297691345,,,1.781417965888977
149,1.0275492668151855,0.6599799990653992,0.45829999446868896,,,1.2947330474853516
150,1.0263675451278687,0.6593799591064453,0.4578000009059906,247.93612670898438,175806.390625,0.7885164022445679
151,1.0234562158584595,0.6606599688529968,0.4535999894142151,,,1.2398278713226318
152,1.018556833267212,0.6626200079917908,0.45579999685287476,,,1.3688184022903442
153,1.0132008790969849,0.6649399995803833,0.4560999870300293,,,1.1105467081069946
154,1.0091577768325806,0.6662399768829346,0.45509999990463257,,,0.7741793990135193
155,1.0079270601272583,0.6660199761390686,0.45489999651908875,274.24310302734375,199450.59375,0.8119361996650696
156,1.004804253578186,0.6670199632644653,0.45350000262260437,,,1.1966887712478638
157,0.9989638328552246,0.6693399548530579,0.45339998602867126,,,1.1935288906097412
158,0.9954017400741577,0.6713399887084961,0.4537999927997589,,,0.9024442434310913
159,0.9949168562889099,0.6703199744224548,0.4496999979019165,,,1.003562569618225
160,0.9974250793457031,0.6702799797058105,0.4536999762058258,268.6015625,187120.375,1.5831210613250732
161,1.0007323026657104,0.6687999963760376,0.4503999948501587,,,2.2841506004333496
162,1.0215344429016113,0.6612199544906616,0.44909998774528503,,,3.2998650074005127
163,1.0120024681091309,0.6636199951171875,0.44859999418258667,,,4.592577934265137
164,0.9870351552963257,0.6741799712181091,0.4527999758720398,,,4.630107402801514
165,0.9803279638290405,0.6761199831962585,0.4511999785900116,266.2174072265625,168880.578125,2.4570021629333496
166,0.9912689924240112,0.671180009841919,0.44849997758865356,,,2.0293078422546387
167,0.9776822924613953,0.678380012512207,0.4509999752044678,,,3.6519548892974854
168,0.9697676301002502,0.6806399822235107,0.4494999945163727,,,2.2757480144500732
169,0.9805957674980164,0.6755799651145935,0.44529998302459717,,,1.8529011011123657
170,0.9612286686897278,0.6842600107192993,0.45069998502731323,253.5184326171875,153787.40625,3.343184471130371
171,0.9641713500022888,0.6831200122833252,0.4496999979019165,,,1.3064491748809814
172,0.9619907140731812,0.6843400001525879,0.44509997963905334,,,2.1564993858337402
173,0.9499664306640625,0.6885799765586853,0.45069998502731323,,,2.3132550716400146
174,0.95538330078125,0.6868399977684021,0.44999998807907104,,,0.7827193140983582
175,0.9448673725128174,0.6896799802780151,0.4479999840259552,286.6106262207031,166205.96875,2.119074583053589
176,0.9463879466056824,0.6904799938201904,0.447299987077713,,,0.9285919666290283
177,0.9434912204742432,0.6909599900245667,0.4487999975681305,,,1.8010051250457764
178,0.9370201826095581,0.6927399635314941,0.44859999418258667,,,1.754845142364502
179,0.9371817111968994,0.6929399967193604,0.44589999318122864,,,0.9647559523582458
180,0.9331836104393005,0.6938999891281128,0.4465999901294708,288.2294921875,179230.6875,1.7479606866836548
181,0.9282402396202087,0.6963199973106384,0.448199987411499,,,1.3923616409301758
182,0.928774893283844,0.6964600086212158,0.44739997386932373,,,1.0199257135391235
183,0.9233904480934143,0.6976400017738342,0.4453999996185303,,,1.6665456295013428
184,0.9188619256019592,0.6996399760246277,0.4461999833583832,,,1.1369303464889526
185,0.9191969633102417,0.6990799903869629,0.44679999351501465,322.43408203125,184617.9375,0.8600949048995972
186,0.9126338362693787,0.7011599540710449,0.447299987077713,,,1.486595630645752
187,0.9110875129699707,0.7019000053405762,0.4447999894618988,,,0.7437719702720642
188,0.9085121750831604,0.7023800015449524,0.446399986743927,,,0.9865444898605347
189,0.904804527759552,0.704039990901947,0.4453999996185303,,,1.1653478145599365
190,0.9020795822143555,0.7052800059318542,0.4448999762535095,331.7029724121094,198855.703125,0.9529333114624023
191,0.8992724418640137,0.7059800028800964,0.44519999623298645,,,0.9285068511962891
192,0.8974881172180176,0.7071399688720703,0.44429999589920044,,,1.0590245723724365
193,0.8936909437179565,0.7086799740791321,0.444599986076355,,,1.2473706007003784
194,0.8925736546516418,0.7075600028038025,0.44110000133514404,,,1.0998406410217285
195,0.8925563097000122,0.7084999680519104,0.44359999895095825,336.6156005859375,197542.796875,1.5540519952774048
196,0.8902239799499512,0.7080599665641785,0.4424999952316284,,,1.9658533334732056
197,0.8875414729118347,0.710379958152771,0.44189998507499695,,,2.0628559589385986
198,0.8816601037979126,0.7122600078582764,0.444599986076355,,,2.02618408203125
199,0.8764082789421082,0.7143599987030029,0.44339999556541443,,,1.5725047588348389
200,0.8742468953132629,0.7149199843406677,0.44339999556541443,370.1346130371094,209613.9375,1.0498019456863403
201,0.8761721849441528,0.7134999632835388,0.4421999752521515,,,1.2946572303771973
202,0.8797577619552612,0.7113400101661682,0.4412999749183655,,,2.1511826515197754
203,0.8823838233947754,0.7088399529457092,0.44029998779296875,,,2.975536346435547
204,0.88031405210495,0.7095400094985962,0.43959999084472656,,,3.53666615486145
205,0.873069167137146,0.7133600115776062,0.44209998846054077,374.0587158203125,176634.78125,3.600856304168701
206,0.8653653860092163,0.7172399759292603,0.43959999084472656,,,2.9670488834381104
207,0.8620993494987488,0.718559980392456,0.44020000100135803,,,2.4168543815612793
