step,train_loss,train_acc,test_acc,lambda_H,lambda_A,grad_norm
0,2.1475183963775635,0.23065999150276184,0.22299998998641968,11.861345291137695,396213.875,1.6242934465408325
1,2.0518798828125,0.28129997849464417,0.27719998359680176,,,0.8444052338600159
2,1.990044116973877,0.3051399886608124,0.3027999997138977,,,0.5769965052604675
3,1.9442377090454102,0.3199999928474426,0.3182999789714813,,,0.46100395917892456
4,1.9080712795257568,0.33667999505996704,0.3357999920845032,,,0.40659990906715393
5,1.8813695907592773,0.3505599796772003,0.34450000524520874,10.337857246398926,57547.296875,0.36653754115104675
6,1.866079330444336,0.35749998688697815,0.35339999198913574,,,0.3044123947620392
7,1.8503787517547607,0.36146000027656555,0.3564999997615814,,,0.3146737217903137
8,1.829473853111267,0.37031999230384827,0.3643999993801117,,,0.3199036121368408
9,1.8089375495910645,0.37755998969078064,0.37070000171661377,,,0.2885391414165497
10,1.792966604232788,0.3831599950790405,0.3774999976158142,11.49156665802002,54559.140625,0.2457253634929657
11,1.7797201871871948,0.38975998759269714,0.38339999318122864,,,0.23893621563911438
12,1.7672356367111206,0.39413997530937195,0.38850000500679016,,,0.2325461208820343
13,1.7534481287002563,0.39841997623443604,0.3937999904155731,,,0.2341758906841278
14,1.7395375967025757,0.4034999907016754,0.3985999822616577,,,0.2214004248380661
15,1.726172924041748,0.40814000368118286,0.40209999680519104,15.112022399902344,75092.234375,0.2152813822031021
16,1.713024377822876,0.4126399755477905,0.4043999910354614,,,0.21456512808799744
17,1.7000138759613037,0.41631999611854553,0.4068000018596649,,,0.20845024287700653
18,1.6878470182418823,0.42187997698783875,0.4132999777793884,,,0.19177699089050293
19,1.6756705045700073,0.42603999376296997,0.4163999855518341,,,0.19623368978500366
20,1.6637026071548462,0.4294999837875366,0.4197999835014343,17.39922523498535,85155.359375,0.18184968829154968
21,1.651391863822937,0.434579998254776,0.42339998483657837,,,0.19012010097503662
22,1.6401655673980713,0.4378199875354767,0.42729997634887695,,,0.1644744724035263
23,1.629651427268982,0.4414199888706207,0.42669999599456787,,,0.17096692323684692
24,1.618927240371704,0.44509997963905334,0.4292999804019928,,,0.17920483648777008
25,1.6085751056671143,0.4480399787425995,0.4316999912261963,19.507431030273438,95708.8125,0.15401768684387207
26,1.598283290863037,0.4519200026988983,0.43230000138282776,,,0.15871666371822357
27,1.588260293006897,0.4570799767971039,0.4327999949455261,,,0.168658047914505
28,1.5788321495056152,0.46077999472618103,0.4372999966144562,,,0.16177168488502502
29,1.5694515705108643,0.46459999680519104,0.4372999966144562,,,0.16530299186706543
30,1.5605554580688477,0.46577998995780945,0.4375999867916107,21.1728572845459,98513.359375,0.18990458548069
31,1.5527777671813965,0.4701799750328064,0.44039997458457947,,,0.25377270579338074
32,1.5484198331832886,0.47044000029563904,0.439300000667572,,,0.3984925150871277
33,1.540012001991272,0.4753599762916565,0.43869999051094055,,,0.581917941570282
34,1.5300959348678589,0.4777999818325043,0.4413999915122986,,,0.6606196761131287
