model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes,learning_rate_adam
68,MLP4,relu,Muon,MSELoss,0.0068,0.95,,500,0.28,0.0001
69,MLP4,relu,Muon,MSELoss,0.0069,0.95,,500,0.25,0.0001
70,MLP4,relu,Muon,MSELoss,0.007,0.95,,500,0.28,0.0001
71,MLP4,relu,Muon,MSELoss,0.0071,0.95,,500,0.26,0.0001
72,MLP4,relu,Muon,MSELoss,0.0072,0.95,,500,0.27,0.0001
73,MLP4,relu,Muon,MSELoss,0.0073,0.95,,500,0.26,0.0001
74,MLP4,relu,Muon,MSELoss,0.0074,0.95,,500,0.27,0.0001
75,MLP4,relu,Muon,MSELoss,0.0075,0.95,,500,0.26,0.0001
76,MLP4,relu,Muon,MSELoss,0.0076,0.95,,500,0.27,0.0001
77,MLP4,relu,Muon,MSELoss,0.0077,0.95,,500,0.27,0.0001
78,MLP4,relu,Muon,MSELoss,0.0078,0.95,,500,0.28,0.0001
79,MLP4,relu,Muon,MSELoss,0.0079,0.95,,500,0.27,0.0001
80,MLP4,relu,Muon,MSELoss,0.008,0.95,,500,0.28,0.0001
81,MLP4,relu,Muon,MSELoss,0.0081,0.95,,500,0.28,0.0001
82,MLP4,relu,Muon,MSELoss,0.0082,0.95,,500,0.28,0.0001
83,MLP4,relu,Muon,MSELoss,0.0083,0.95,,500,0.28,0.0001
84,MLP4,relu,Muon,MSELoss,0.0084,0.95,,500,0.28,0.0001
85,MLP4,relu,Muon,MSELoss,0.0085,0.95,,500,0.28,0.0001
86,MLP4,relu,Muon,MSELoss,0.0086,0.95,,500,0.28,0.0001
87,MLP4,relu,Muon,MSELoss,0.0087,0.95,,500,0.27,0.0001
88,MLP4,relu,Muon,MSELoss,0.0088,0.95,,500,0.29,0.0001
89,MLP4,relu,Muon,MSELoss,0.0089,0.95,,500,0.27,0.0001
90,MLP4,relu,Muon,MSELoss,0.009,0.95,,500,0.26,0.0001
91,MLP4,relu,Muon,MSELoss,0.0091,0.95,,500,0.28,0.0001
92,MLP4,relu,Muon,MSELoss,0.0092,0.95,,500,0.27,0.0001
93,MLP4,relu,Muon,MSELoss,0.0093,0.95,,500,0.28,0.0001
94,MLP4,relu,Muon,MSELoss,0.0094,0.95,,500,0.27,0.0001
95,MLP4,relu,Muon,MSELoss,0.0095,0.95,,500,0.28,0.0001
96,MLP4,relu,Muon,MSELoss,0.0096,0.95,,500,0.27,0.0001
97,MLP4,relu,Muon,MSELoss,0.0097,0.95,,500,0.28,0.0001
98,MLP4,relu,Muon,MSELoss,0.0098,0.95,,500,0.28,0.0001
99,MLP4,relu,Muon,MSELoss,0.0099,0.95,,500,0.26,0.0001
100,MLP4,relu,Muon,MSELoss,0.01,0.95,,500,0.27,0.0001
101,MLP4,relu,Muon,MSELoss,0.0101,0.95,,500,0.28,0.0001
102,MLP4,relu,Muon,MSELoss,0.0102,0.95,,500,0.28,0.0001
103,MLP4,relu,Muon,MSELoss,0.0103,0.95,,500,0.28,0.0001
104,MLP4,relu,Muon,MSELoss,0.0104,0.95,,500,0.28,0.0001
105,MLP4,relu,Muon,MSELoss,0.0105,0.95,,500,0.28,0.0001
106,MLP4,relu,Muon,MSELoss,0.0106,0.95,,500,0.27,0.0001
107,MLP4,relu,Muon,MSELoss,0.0107,0.95,,500,0.28,0.0001
108,MLP4,relu,Muon,MSELoss,0.0108,0.95,,500,0.28,0.0001
109,MLP4,relu,Muon,MSELoss,0.0109,0.95,,500,0.28,0.0001
110,MLP4,relu,Muon,MSELoss,0.011,0.95,,500,0.27,0.0001
111,MLP4,relu,Muon,MSELoss,0.0111,0.95,,500,0.27,0.0001
112,MLP4,relu,Muon,MSELoss,0.0112,0.95,,500,0.27,0.0001
113,MLP4,relu,Muon,MSELoss,0.0113,0.95,,500,0.27,0.0001
114,MLP4,relu,Muon,MSELoss,0.0114,0.95,,500,0.27,0.0001
115,MLP4,relu,Muon,MSELoss,0.0115,0.95,,500,0.28,0.0001
116,MLP4,relu,Muon,MSELoss,0.0116,0.95,,500,0.28,0.0001
117,MLP4,relu,Muon,MSELoss,0.0117,0.95,,500,0.27,0.0001
118,MLP4,relu,Muon,MSELoss,0.0118,0.95,,500,0.29,0.0001
119,MLP4,relu,Muon,MSELoss,0.0119,0.95,,500,0.28,0.0001
120,MLP4,relu,Muon,MSELoss,0.012,0.95,,500,0.28,0.0001
121,MLP4,relu,Muon,MSELoss,0.0121,0.95,,500,0.28,0.0001
122,MLP4,relu,Muon,MSELoss,0.0122,0.95,,500,0.29,0.0001
123,MLP4,relu,Muon,MSELoss,0.0123,0.95,,500,0.27,0.0001
124,MLP4,relu,Muon,MSELoss,0.0124,0.95,,500,0.28,0.0001
125,MLP4,relu,Muon,MSELoss,0.0125,0.95,,500,0.29,0.0001
126,MLP4,relu,Muon,MSELoss,0.0126,0.95,,500,0.28,0.0001
127,MLP4,relu,Muon,MSELoss,0.0127,0.95,,500,0.28,0.0001
128,MLP4,relu,Muon,MSELoss,0.0128,0.95,,500,0.27,0.0001
129,MLP4,relu,Muon,MSELoss,0.0129,0.95,,500,0.28,0.0001
130,MLP4,relu,Muon,MSELoss,0.013,0.95,,500,0.26,0.0001
131,MLP4,relu,Muon,MSELoss,0.0131,0.95,,500,0.27,0.0001
132,MLP4,relu,Muon,MSELoss,0.0132,0.95,,500,0.27,0.0001
133,MLP4,relu,Muon,MSELoss,0.0133,0.95,,500,0.26,0.0001
134,MLP4,relu,Muon,MSELoss,0.0134,0.95,,500,0.27,0.0001
135,MLP4,relu,Muon,MSELoss,0.0135,0.95,,500,0.28,0.0001
136,MLP4,relu,Muon,MSELoss,0.0136,0.95,,500,0.27,0.0001
137,MLP4,relu,Muon,MSELoss,0.0137,0.95,,500,0.27,0.0001
138,MLP4,relu,Muon,MSELoss,0.0138,0.95,,500,0.28,0.0001
139,MLP4,relu,Muon,MSELoss,0.0139,0.95,,500,0.27,0.0001
140,MLP4,relu,Muon,MSELoss,0.014,0.95,,500,0.28,0.0001
141,MLP4,relu,Muon,MSELoss,0.0141,0.95,,500,0.27,0.0001
142,MLP4,relu,Muon,MSELoss,0.0142,0.95,,500,0.29,0.0001
143,MLP4,relu,Muon,MSELoss,0.0143,0.95,,500,0.28,0.0001
144,MLP4,relu,Muon,MSELoss,0.0144,0.95,,500,0.27,0.0001
145,MLP4,relu,Muon,MSELoss,0.0145,0.95,,500,0.28,0.0001
146,MLP4,relu,Muon,MSELoss,0.0146,0.95,,500,0.27,0.0001
147,MLP4,relu,Muon,MSELoss,0.0147,0.95,,500,0.26,0.0001
148,MLP4,relu,Muon,MSELoss,0.0148,0.95,,500,0.26,0.0001
149,MLP4,relu,Muon,MSELoss,0.0149,0.95,,500,0.27,0.0001
150,MLP4,relu,Muon,MSELoss,0.015,0.95,,500,0.28,0.0001
151,MLP4,relu,Muon,MSELoss,0.0151,0.95,,500,0.27,0.0001
152,MLP4,relu,Muon,MSELoss,0.0152,0.95,,500,0.28,0.0001
153,MLP4,relu,Muon,MSELoss,0.0153,0.95,,500,0.28,0.0001
154,MLP4,relu,Muon,MSELoss,0.0154,0.95,,500,0.28,0.0001
155,MLP4,relu,Muon,MSELoss,0.0155,0.95,,500,0.27,0.0001
156,MLP4,relu,Muon,MSELoss,0.0156,0.95,,500,0.28,0.0001
157,MLP4,relu,Muon,MSELoss,0.0157,0.95,,500,0.28,0.0001
158,MLP4,relu,Muon,MSELoss,0.0158,0.95,,500,0.28,0.0001
159,MLP4,relu,Muon,MSELoss,0.0159,0.95,,500,0.28,0.0001
160,MLP4,relu,Muon,MSELoss,0.016,0.95,,500,0.26,0.0001
161,MLP4,relu,Muon,MSELoss,0.0161,0.95,,500,0.28,0.0001
162,MLP4,relu,Muon,MSELoss,0.0162,0.95,,500,0.27,0.0001
163,MLP4,relu,Muon,MSELoss,0.0163,0.95,,500,0.27,0.0001
164,MLP4,relu,Muon,MSELoss,0.0164,0.95,,500,0.26,0.0001
165,MLP4,relu,Muon,MSELoss,0.0165,0.95,,500,0.29,0.0001
166,MLP4,relu,Muon,MSELoss,0.0166,0.95,,500,0.27,0.0001
167,MLP4,relu,Muon,MSELoss,0.0167,0.95,,500,0.29,0.0001
168,MLP4,relu,Muon,MSELoss,0.0168,0.95,,500,0.28,0.0001
169,MLP4,relu,Muon,MSELoss,0.0169,0.95,,500,0.29,0.0001
170,MLP4,relu,Muon,MSELoss,0.017,0.95,,500,0.27,0.0001
171,MLP4,relu,Muon,MSELoss,0.0171,0.95,,500,0.27,0.0001
172,MLP4,relu,Muon,MSELoss,0.0172,0.95,,500,0.27,0.0001
173,MLP4,relu,Muon,MSELoss,0.0173,0.95,,500,0.29,0.0001
