model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes
1,FullyConnectedNet,Tanh,SGD,MSELoss,0.13,,,20000,0.31
2,FullyConnectedNet,Tanh,SGD,MSELoss,0.07,,,20000,0.51
3,FullyConnectedNet,Tanh,SGD,MSELoss,0.04,,,20000,0.57
4,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.032,,,4000,0.15
5,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.025,,,4000,0.18
6,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.02,,,4000,0.22
