model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes
1,MLP4,relu,Shampoo,MSELoss,0.01,,,500,0.07
2,MLP4,relu,Shampoo,MSELoss,0.003,,,500,3.52
3,MLP4,relu,Shampoo,MSELoss,0.001,,,500,3.61
4,MLP4,relu,Shampoo,MSELoss,0.0003,,,500,3.64
5,MLP4,relu,Shampoo,MSELoss,0.0001,,,500,3.59
