step,train_loss,train_acc,test_acc,lambda_H,lambda_A,grad_norm
0,2.250332832336426,0.17712000012397766,0.17319999635219574,19.054269790649414,551073.5,1.6242934465408325
1,2.1726014614105225,0.22091999650001526,0.2150999903678894,,,1.2090057134628296
2,2.1147613525390625,0.24887999892234802,0.24269999563694,,,0.8796913027763367
3,2.0701346397399902,0.2727999985218048,0.2669000029563904,,,0.7130551338195801
4,2.033830404281616,0.2896600067615509,0.28540000319480896,,,0.616656482219696
5,2.003119468688965,0.3025200068950653,0.29649999737739563,12.578643798828125,74683.8828125,0.5479515790939331
6,1.9765535593032837,0.31241998076438904,0.3057999908924103,,,0.49296844005584717
7,1.9532040357589722,0.3203999996185303,0.3179999887943268,,,0.4492480754852295
8,1.9323786497116089,0.32877999544143677,0.32729998230934143,,,0.4161015748977661
9,1.9137015342712402,0.337799996137619,0.3352999985218048,,,0.3887785077095032
10,1.8971315622329712,0.34314000606536865,0.3398999869823456,13.684176445007324,59098.578125,0.3611207902431488
11,1.8827868700027466,0.34841999411582947,0.3434999883174896,,,0.33198902010917664
12,1.8706637620925903,0.3534199893474579,0.34869998693466187,,,0.3054437041282654
13,1.8604621887207031,0.3573399782180786,0.3522000014781952,,,0.2852966785430908
14,1.851567029953003,0.36169999837875366,0.3553999960422516,,,0.2735663652420044
15,1.8431295156478882,0.365339994430542,0.3577999770641327,15.241596221923828,62530.3125,0.2722286581993103
16,1.8343816995620728,0.36781999468803406,0.36159998178482056,,,0.2772700786590576
17,1.825096607208252,0.37191998958587646,0.3668999969959259,,,0.27702611684799194
18,1.8156815767288208,0.37491998076438904,0.3709999918937683,,,0.26407262682914734
19,1.8067411184310913,0.37901997566223145,0.37549999356269836,,,0.24305833876132965
20,1.7985644340515137,0.3818399906158447,0.37939998507499695,17.343303680419922,70266.4140625,0.2254832237958908
21,1.7910423278808594,0.3850799798965454,0.3804999887943268,,,0.21685932576656342
22,1.783962368965149,0.38850000500679016,0.3831000030040741,,,0.2124730348587036
23,1.7772119045257568,0.3913799822330475,0.3874000012874603,,,0.2074429988861084
24,1.7707281112670898,0.3947199881076813,0.38979998230934143,,,0.20283035933971405
25,1.7644057273864746,0.3981799781322479,0.39159998297691345,18.474998474121094,74543.2421875,0.20058512687683105
26,1.7581454515457153,0.40011999011039734,0.39389997720718384,,,0.1992989182472229
27,1.7519031763076782,0.40261998772621155,0.3955000042915344,,,0.19768814742565155
28,1.7457019090652466,0.4044399857521057,0.4001999795436859,,,0.19512483477592468
29,1.7396475076675415,0.40647998452186584,0.4016999900341034,,,0.18936920166015625
30,1.7338439226150513,0.40836000442504883,0.4025000035762787,20.422136306762695,85041.28125,0.1820230782032013
31,1.7282309532165527,0.4107799828052521,0.4041999876499176,,,0.17974796891212463
32,1.7226858139038086,0.412339985370636,0.4075999855995178,,,0.18043474853038788
33,1.7172056436538696,0.4147000014781952,0.4087999761104584,,,0.17702236771583557
34,1.7117919921875,0.4163399934768677,0.4096999764442444,,,0.17363126575946808
35,1.7064433097839355,0.41821998357772827,0.41040000319480896,23.405595779418945,103645.25,0.17108212411403656
36,1.701270341873169,0.42013999819755554,0.4123999774456024,,,0.1634560078382492
37,1.6962783336639404,0.42239999771118164,0.4120999872684479,,,0.15921008586883545
38,1.6912871599197388,0.42471998929977417,0.4136999845504761,,,0.16348928213119507
39,1.6862469911575317,0.42565998435020447,0.41429999470710754,,,0.16326087713241577
40,1.68125581741333,0.4276599884033203,0.41659998893737793,27.099170684814453,121539.84375,0.1580425351858139
41,1.676390290260315,0.4290599822998047,0.4171999990940094,,,0.15403485298156738
42,1.6716634035110474,0.4302600026130676,0.4202999770641327,,,0.15127725899219513
43,1.6669881343841553,0.4315199851989746,0.42159998416900635,,,0.1527233123779297
44,1.6623262166976929,0.4327999949455261,0.42260000109672546,,,0.15274584293365479
45,1.657727599143982,0.43397998809814453,0.4235000014305115,31.347822189331055,143348.203125,0.14906075596809387
46,1.653207778930664,0.43601998686790466,0.4235999882221222,,,0.14706028997898102
47,1.6487659215927124,0.43765997886657715,0.42549997568130493,,,0.14497430622577667
48,1.644370675086975,0.43974000215530396,0.42569997906684875,,,0.14443817734718323
49,1.6399965286254883,0.44123998284339905,0.4274999797344208,,,0.14363223314285278
50,1.6356290578842163,0.44265997409820557,0.4275999963283539,35.22971725463867,163780.609375,0.14292797446250916
51,1.6313070058822632,0.4440999925136566,0.4292999804019928,,,0.1400453895330429
52,1.6270627975463867,0.4456599950790405,0.4296000003814697,,,0.13730619847774506
53,1.6228586435317993,0.4473799765110016,0.429999977350235,,,0.13790079951286316
54,1.6186769008636475,0.4486199915409088,0.43059998750686646,,,0.13703535497188568
55,1.6145154237747192,0.44995999336242676,0.4310999810695648,39.82469177246094,189021.375,0.13633359968662262
56,1.6104047298431396,0.4513999819755554,0.43050000071525574,,,0.13358265161514282
57,1.6063154935836792,0.45253998041152954,0.4318999946117401,,,0.1340462565422058
58,1.6022236347198486,0.45405998826026917,0.43299999833106995,,,0.1338035762310028
59,1.598097801208496,0.4557199776172638,0.4339999854564667,,,0.1346086710691452
60,1.5939620733261108,0.45725998282432556,0.4341999888420105,44.70119094848633,216285.4375,0.13291920721530914
61,1.5898358821868896,0.4593599736690521,0.4341999888420105,,,0.1316285878419876
62,1.585717797279358,0.4612399935722351,0.4357999861240387,,,0.1304686814546585
63,1.5815876722335815,0.46267998218536377,0.4375,,,0.13065649569034576
64,1.5774575471878052,0.46456000208854675,0.438400000333786,,,0.12928077578544617
65,1.5733250379562378,0.465719997882843,0.43849998712539673,49.71282958984375,245606.796875,0.12874823808670044
66,1.569176435470581,0.46699997782707214,0.4397999942302704,,,0.12858633697032928
67,1.5650092363357544,0.46851998567581177,0.4404999911785126,,,0.12787918746471405
68,1.5608391761779785,0.47011998295783997,0.4405999779701233,,,0.12671834230422974
69,1.5566703081130981,0.4713599979877472,0.4413999915122986,,,0.125992089509964
70,1.5524990558624268,0.4729599952697754,0.44110000133514404,55.99203872680664,283374.71875,0.12539860606193542
71,1.5483137369155884,0.4744599759578705,0.4423999786376953,,,0.12570859491825104
72,1.5441257953643799,0.47613999247550964,0.4430999755859375,,,0.12447302788496017
73,1.5399359464645386,0.47731998562812805,0.4439999759197235,,,0.12379863858222961
74,1.5357398986816406,0.4785799980163574,0.44429999589920044,,,0.12360731512308121
75,1.5315375328063965,0.48023998737335205,0.44359999895095825,63.26677703857422,328430.65625,0.12295681238174438
